Poll_spec,Poll_order,Julian_day,Plant_spec,Freq,Ele_m,Lat,Lon,Period
Thecophora sp.,Diptera,196,Eremogone fendleri,1,2793.69409,38.92322,-105.02122,Present
Anaspis sp.,Coleoptera,151,Rubus deliciosus,1,2310.741211,38.85520902,-104.941207,Present
Apis mellifera,Hymenoptera,146,Rubus deliciosus,1,2117.18457,38.85999299,-104.935186,Present
Thecophora sp.,Diptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Thecophora sp.,Diptera,218,Chamaenerion angustifolium,1,2783.268066,38.92418697,-105.022245,Present
Apis mellifera,Hymenoptera,146,Rubus deliciosus,1,2117.18457,38.85999299,-104.935186,Present
Apis mellifera,Hymenoptera,146,Rubus deliciosus,1,2117.18457,38.85999299,-104.935186,Present
Thecophora sp.,Diptera,218,Geranium caespitosum,1,2758.218018,38.925271,-105.021919,Present
Apis mellifera,Hymenoptera,146,Rubus deliciosus,1,2117.18457,38.85999299,-104.935186,Present
Thecophora sp.,Diptera,224,Geranium caespitosum,1,2764.074951,38.92520897,-105.021905,Present
Apis mellifera,Hymenoptera,146,Rubus deliciosus,1,2117.18457,38.85999299,-104.935186,Present
Apis mellifera,Hymenoptera,145,Rubus deliciosus,1,2112.311279,38.85996197,-104.935209,Present
Apis mellifera,Hymenoptera,206,Pericome caudata,1,2135.258789,38.86030303,-104.935798,Present
Thecophora sp.,Diptera,226,Geranium caespitosum,1,2778.82153,38.924898,-105.02206,Present
Apis mellifera,Hymenoptera,145,Erysimum capitatum,1,2130.367188,38.86545002,-104.936367,Present
Apis mellifera,Hymenoptera,210,Cirsium arvense,9,2074.694092,38.85297197,-104.936587,Present
Apis mellifera,Hymenoptera,159,Cercocarpus montanus,1,2198.585693,38.86207698,-104.936636,Present
Apis mellifera,Hymenoptera,206,Dalea purpurea,1,2212.487305,38.87045503,-104.943354,Present
Thecophora sp.,Diptera,226,Geranium caespitosum,1,2778.82153,38.924898,-105.02206,Present
Thecophora sp.,Diptera,197,Geranium caespitosum,1,2783.145508,38.92417104,-105.022241,Present
Apis mellifera,Hymenoptera,157,Taraxacum officinale,1,2664.021729,38.856357,-104.958456,Present
Apis mellifera,Hymenoptera,213,Centaurea diffusa,1,2242.185303,38.89483698,-104.970612,Present
Apis mellifera,Hymenoptera,160,Clematis columbiana var. columbiana,1,2324.331787,38.89436097,-104.97481,Present
Apis mellifera,Hymenoptera,217,Campanula rapunculoides,1,2276.519287,38.89592302,-104.975481,Present
Apis mellifera,Hymenoptera,217,Melilotus officinalis,3,2276.519287,38.89592302,-104.975481,Present
Hylaeus wootoni,Hymenoptera,207,Geranium caespitosum,1,2639.508057,38.903297,-104.992356,Present
Thecophora sp.,Diptera,204,Chamaenerion angustifolium,1,2775.513184,38.92819896,-105.047332,Present
Thecophora sp.,Diptera,200,Chamaenerion angustifolium,1,2763.737305,38.92819201,-105.047033,Present
Zodion sp.,Diptera,218,Chamaenerion angustifolium,1,2783.268066,38.92418697,-105.022245,Present
Zodion sp.,Diptera,218,Chamaenerion angustifolium,1,2780.940918,38.92418697,-105.022239,Present
Zodion sp.,Diptera,218,Bahia dissecta,1,2806.26416,38.92764702,-105.048785,Present
Culicidae spp.,Diptera,204,Penstemon glaber,1,2787.816895,38.92766504,-105.047627,Present
Culididae spp.,Diptera,226,Rubus idaeus var. strigosus,1,2784.251465,38.924078,-105.022319,Present
Dolichopodidae spp.,Diptera,202,Chamaenerion angustifolium,1,2758.13623,38.92566101,-105.021857,Present
Anthepiscopus sp.,Diptera,212,Telesonix jamesii,1,3566.394531,38.87498,-105.063542,Present
Empididae spp.,Diptera,160,Cymopterus alpinus,1,3608.603516,38.877138,-105.065281,Present
Empididae spp.,Diptera,160,Cymopterus alpinus,1,3602.876465,38.87695603,-105.065179,Present
Empididae spp.,Diptera,172,Caltha chionophila,1,3840.043945,38.86432199,-105.082018,Present
Empididae spp.,Diptera,180,Geranium caespitosum,1,2791.307861,38.92450296,-105.02285,Present
Empis spp.,Diptera,199,Penstemon glaber,1,3580.70898,38.87569,-105.0641,Present
Empis spp.,Diptera,199,Achillea millefolium,1,3545.341309,38.87054899,-105.060937,Present
Empis spp.,Diptera,203,Chamaenerion angustifolium,1,2789.0332,38.924023,-105.02176,Present
Empis spp.,Diptera,193,Caltha chionophila,1,3587.138916,38.87604098,-105.06438,Present
Empis spp.,Diptera,193,Erigeron vetensis,1,3596.927002,38.87581701,-105.064688,Present
Empis spp.,Diptera,222,Chamaenerion angustifolium,1,3168.314209,38.89290201,-105.066126,Present
Empis spp.,Diptera,224,Stellaria longipes subsp. longipes,1,3376.320312,38.863691,-105.053444,Present
Empis spp.,Diptera,230,Geranium caespitosum,1,2795.584961,38.92542003,-105.021757,Present
Empis spp.,Diptera,166,Potentilla pulcherrima,1,3314.868652,38.76870199,-105.022152,Present
Empis spp.,Diptera,186,Achillea millefolium,1,3211.588379,38.89093403,-105.067009,Present
Hoplitis fulgida,Hymenoptera,207,Geranium caespitosum,1,2639.508057,38.903297,-104.992356,Present
Hoplitis truncata mescalerium,Hymenoptera,207,Geranium caespitosum,1,2639.508057,38.903297,-104.992356,Present
Anaspis sp.,Coleoptera,154,Rubus deliciosus,1,2312.010742,38.85509402,-104.941188,Present
Anaspis sp.,Coleoptera,154,Rubus deliciosus,1,2312.010742,38.85509402,-104.941188,Present
Apis mellifera,Hymenoptera,195,Melilotus officinalis,1,2347.821289,38.906676,-104.979228,Present
Apis mellifera,Hymenoptera,195,Melilotus officinalis,2,2347.821289,38.906676,-104.979228,Present
Apis mellifera,Hymenoptera,195,Melilotus officinalis,2,2347.821289,38.906676,-104.979228,Present
Apis mellifera,Hymenoptera,195,Melilotus officinalis,3,2347.821289,38.906676,-104.979228,Present
Apis mellifera,Hymenoptera,221,Cleome serrulata,1,2306.76123,38.91660503,-104.981956,Present
Speyeria aphrodite,Lepidoptera,209,Cirsium scariosum/scopulorum,1,2640.00269,38.904059,-104.99235,Present
Apis mellifera,Hymenoptera,221,Cleome serrulata,2,2306.691162,38.91658802,-104.981956,Present
Pollenia sp.,Diptera,204,Achillea millefolium,1,2642.487305,38.90399002,-104.992347,Present
Hylaeus basalis,Hymenoptera,204,Potentilla hippiana,1,2642.487305,38.90399002,-104.992347,Present
Ectemnius spp.,Hymenoptera,183,Taraxacum officinale,1,2629.067383,38.90236502,-104.992345,Present
Anaspis sp.,Coleoptera,179,Jamesia americana var. americana,1,2296.49585,38.85491397,-104.940886,Present
Iteaphila spp.,Diptera,199,Geum rossii var. turbinatum,1,3591.663574,38.87629,-105.06459,Present
Iteaphila spp.,Diptera,202,Polemonium pulcherrimum subsp. delicatum,1,3575.691406,38.87638103,-105.063992,Present
Iteaphila spp.,Diptera,160,Cymopterus alpinus,1,3608.603516,38.877138,-105.065281,Present
Iteaphila spp.,Diptera,160,Geum rossii var. turbinatum,1,3599.077881,38.876721,-105.065356,Present
Iteaphila spp.,Diptera,160,Cymopterus alpinus,1,3602.876465,38.87695603,-105.065179,Present
Iteaphila spp.,Diptera,160,Geum rossii var. turbinatum,1,3602.876465,38.87695603,-105.065179,Present
Iteaphila spp.,Diptera,160,Geum rossii var. turbinatum,1,3602.876465,38.87695603,-105.065179,Present
Iteaphila spp.,Diptera,160,Cymopterus alpinus,1,3606.669189,38.87714102,-105.065302,Present
Iteaphila spp.,Diptera,193,Geum rossii var. turbinatum,1,3550.6604,38.87131903,-105.062282,Present
Iteaphila spp.,Diptera,193,Geum rossii var. turbinatum,1,3544.763184,38.87046902,-105.060702,Present
Iteaphila spp.,Diptera,193,Geum rossii var. turbinatum,1,3548.458496,38.87096599,-105.061806,Present
Iteaphila spp.,Diptera,193,Minuartia obtusiloba,1,3524.628418,38.86887202,-105.057408,Present
Iteaphila spp.,Diptera,193,Telesonix jamesii,1,3539.926514,38.87048503,-105.060763,Present
Iteaphila spp.,Diptera,180,Rubus idaeus,1,2790.366699,38.92730202,-105.048033,Present
Anaspis sp.,Coleoptera,155,Rubus deliciosus,1,2279.919189,38.85556198,-104.940745,Present
Anaspis sp.,Coleoptera,179,Rosa acicularis subsp. sayi,1,2267.957031,38.85558302,-104.940729,Present
Anaspis sp.,Coleoptera,149,Rubus deliciosus,1,2272.15869,38.85554,-104.94068,Present
Anaspis sp.,Coleoptera,156,Physocarpus monogynus,1,2293.76001,38.854933,-104.94063,Present
Apis mellifera,Hymenoptera,221,Cleome serrulata,1,2308.302979,38.91657603,-104.98197,Present
Apis mellifera,Hymenoptera,221,Cleome serrulata,1,2307.804688,38.91669497,-104.982046,Present
Apis mellifera,Hymenoptera,221,Cleome serrulata,1,2305.881592,38.91666102,-104.982049,Present
Apis mellifera,Hymenoptera,217,Centaurea diffusa,2,2309.541504,38.91837101,-104.984044,Present
Apis mellifera,Hymenoptera,217,Melilotus officinalis,4,2309.541504,38.91837101,-104.984044,Present
Apis mellifera,Hymenoptera,182,Geranium caespitosum,1,2603.798584,38.90020198,-104.990415,Present
Iteaphila spp.,Diptera,172,Geum rossii var. turbinatum,1,3790.544922,38.86440204,-105.083736,Present
Iteaphila spp.,Diptera,186,Antennaria parvifolia,1,3375.102295,38.88151,-105.071405,Present
Iteaphila spp.,Diptera,186,Antennaria parvifolia,1,3375.102295,38.88151,-105.071405,Present
Iteaphila spp.,Diptera,188,Hymenoxys grandiflora,1,3601.169922,38.87633803,-105.065693,Present
Iteaphila spp.,Diptera,192,Geum rossii var. turbinatum,1,3595.124268,38.87615598,-105.065446,Present
Iteaphila spp.,Diptera,192,Geum rossii var. turbinatum,1,3595.124268,38.87615598,-105.065446,Present
Iteaphila spp.,Diptera,192,Geum rossii var. turbinatum,1,3588.323975,38.87632001,-105.064867,Present
Iteaphila spp.,Diptera,174,Dryas octopetala subsp. hookeriana,2,3598.454102,38.87625497,-105.065431,Present
Iteaphila spp.,Diptera,186,Potentilla hippiana,2,3375.102295,38.88151,-105.071405,Present
Iteaphila spp.,Diptera,186,Potentilla hippiana,2,3375.102295,38.88151,-105.071405,Present
Rhamphomyia spp.,Diptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Rhamphomyia spp.,Diptera,199,Senecio fremontii var. blitoides,1,3536.79834,38.86988397,-105.05951,Present
Rhamphomyia spp.,Diptera,212,Solidago multiradiata,1,3506.906738,38.86818504,-105.055328,Present
Gnophaela vermiculata,Lepidoptera,209,Potentilla fruticosa,1,2641.0708,38.904066,-104.99233,Present
Rhamphomyia spp.,Diptera,218,Chamaenerion angustifolium,1,2780.940918,38.92418697,-105.022239,Present
Apis mellifera,Hymenoptera,181,Geranium caespitosum,1,2608.605957,38.90080799,-104.991131,Present
Apis mellifera,Hymenoptera,214,Symphyotrichum foliaceum,1,2609.97998,38.90061999,-104.99155,Present
Papilio polyxenes,Lepidoptera,148,Taraxacum officinale,1,2639.776123,38.90411398,-104.992324,Present
Anaspis sp.,Coleoptera,147,Rubus deliciosus,1,2289.71436,38.854444,-104.94037,Present
Chrysotoxum spp.,Diptera,206,Geranium caespitosum,1,2782.07227,38.924993,-105.02208,Present
Peleteria spp.,Diptera,197,Heterotheca villosa,2,2647.508057,38.90401499,-104.992322,Present
Rhamphomyia spp.,Diptera,197,Geum rossii var. turbinatum,1,3918.756348,38.86341599,-105.072172,Present
Lygus spp.,Hemiptera,197,Hackelia floribunda,1,2647.508057,38.90401499,-104.992322,Present
Apis mellifera,Hymenoptera,214,Symphyotrichum foliaceum,1,2609.97998,38.90061999,-104.99155,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,223,Swertia perennis,1,2623.098633,38.90333698,-104.992322,Present
Anaspis sp.,Coleoptera,155,Rubus deliciosus,1,2292.699219,38.85443998,-104.940358,Present
Anaspis sp.,Coleoptera,193,Holodiscus dumosus,3,2240.724121,38.85523902,-104.940122,Present
Empis spp.,Diptera,197,Saxifraga bronchialis subsp. austromontana,1,2633.75415,38.901628,-104.992319,Present
Rhamphomyia spp.,Diptera,197,Mertensia alpina,1,3918.756348,38.86341599,-105.072172,Present
Anaspis sp.,Coleoptera,156,Rubus deliciosus,1,2246.105713,38.85517197,-104.940087,Present
Anthomyiidae spp.,Diptera,212,Penstemon glaber,1,2690.173584,38.87690599,-104.990896,Present
Chrysotoxum spp.,Diptera,206,Geranium caespitosum,1,2786.807129,38.92536102,-105.021951,Present
Apis mellifera,Hymenoptera,214,Allium cernuum,1,2624.378418,38.90147896,-104.992305,Present
Rhamphomyia spp.,Diptera,197,Geum rossii var. turbinatum,1,3925.908203,38.86374297,-105.072104,Present
Rhamphomyia spp.,Diptera,224,Solidago multiradiata,1,3438.85376,38.85928002,-105.054706,Present
Rhamphomyia spp.,Diptera,224,Chamaenerion angustifolium,1,3379.450439,38.86138396,-105.054306,Present
Rhamphomyia spp.,Diptera,224,Chamaenerion angustifolium,1,3379.450439,38.86138396,-105.054306,Present
Rhamphomyia spp.,Diptera,224,Chamaenerion angustifolium,1,3379.450439,38.86138396,-105.054306,Present
Rhamphomyia spp.,Diptera,224,Solidago multiradiata,1,3437.350098,38.85930902,-105.054389,Present
Rhamphomyia spp.,Diptera,230,Geranium caespitosum,1,2795.584961,38.92542003,-105.021757,Present
Rhamphomyia spp.,Diptera,196,Bistorta bistortoides,1,3907.32373,38.86123401,-105.070032,Present
Rhamphomyia spp.,Diptera,215,Chamaenerion angustifolium,1,2970.460449,38.88613799,-105.132072,Present
Rhamphomyia spp.,Diptera,174,Lloydia serotina,1,3598.813965,38.87613997,-105.065459,Present
Rhamphomyia spp.,Diptera,187,Rubus deliciosus,1,2841.67041,38.92960503,-105.043593,Present
Rhamphomyia spp.,Diptera,187,Rubus deliciosus,1,2841.67041,38.92960503,-105.043593,Present
Anaspis sp.,Coleoptera,179,Jamesia americana var. americana,1,2245.259277,38.85509502,-104.940017,Present
Selasphorus platycercus,Apodiformes,191,Delphinium ramosum,1,2639.179688,38.903269,-104.992315,Present
Anaspis sp.,Coleoptera,149,Rubus deliciosus,1,2250.84668,38.85513299,-104.939919,Present
Anaspis sp.,Coleoptera,156,Rubus deliciosus,1,2238.77881,38.855105,-104.93945,Present
Apis mellifera,Hymenoptera,216,Allium cernuum,1,2638.055908,38.90287003,-104.992339,Present
Apis mellifera,Hymenoptera,192,Hymenoxys hoopesii,1,2634.485107,38.90410703,-104.992375,Present
Hoplitis albifrons,Hymenoptera,174,Thermopsis rhombifolia,1,2641.76123,38.90362398,-104.99231,Present
Anaspis sp.,Coleoptera,156,Rubus deliciosus,2,2238.77881,38.855105,-104.93945,Present
Apis mellifera,Hymenoptera,182,Rubus idaeus,1,2623.568848,38.90217399,-104.992458,Present
Rhamphomyia spp.,Diptera,203,Penstemon glaber,1,3421.379395,38.879208,-105.073146,Present
Rhamphomyia spp.,Diptera,221,Chamaenerion angustifolium,1,2783.774658,38.92792898,-105.047737,Present
Lonchaeidae spp.,Diptera,203,Eremogone fendleri,1,3444.492432,38.87852596,-105.072951,Present
Apis mellifera,Hymenoptera,203,Chamaenerion angustifolium,1,2628.346191,38.90079601,-104.998575,Present
Apis mellifera,Hymenoptera,213,Geranium caespitosum,1,2628.73999,38.89875401,-105.000157,Present
Apis mellifera,Hymenoptera,199,Geranium caespitosum,1,2633.371094,38.89798396,-105.002871,Present
Hylaeus wootoni,Hymenoptera,177,Apocynum androsaemifolium,1,2644.751953,38.85646404,-104.95635,Present
Colias eurytheme,Lepidoptera,188,Sedum lanceolatum,1,2641.48901,38.903101,-104.9923,Present
Apis mellifera,Hymenoptera,202,Telesonix jamesii,1,3730.477783,38.84434104,-105.027343,Present
Bombus appositus,Hymenoptera,183,Mertensia lanceolata,1,3623.940186,38.842047,-105.026837,Present
Bombus appositus,Hymenoptera,189,Penstemon whippleanus,1,3637.209473,38.84221698,-105.026607,Present
Bombus appositus,Hymenoptera,218,Cirsium arvense,1,2650.048584,38.90576304,-104.994021,Present
Bombus appositus,Hymenoptera,218,Linaria vulgaris,1,2650.048584,38.90576304,-104.994021,Present
Bombus appositus,Hymenoptera,218,Delphinium ramosum,1,2650.048584,38.90576304,-104.994021,Present
Bombus appositus,Hymenoptera,218,Linaria vulgaris,1,2650.048584,38.90576304,-104.994021,Present
Bombus appositus,Hymenoptera,209,Frasera speciosa,1,2671.612549,38.90591299,-104.993495,Present
Neophyllomyza sp.,Diptera,199,Chamaenerion angustifolium,1,2776.729492,38.924193,-105.022234,Present
Anthomyiidae spp.,Diptera,206,Geum rossii var. turbinatum,1,3594.062256,38.87638698,-105.065221,Present
Azelia sp.,Diptera,199,Cirsium scariosum/scopulorum,1,3594.515137,38.87642202,-105.065383,Present
Azelia sp.,Diptera,199,Allium cernuum,1,2790.854492,38.92286598,-105.021419,Present
Coenosia sp.,Diptera,197,Potentilla pensylvanica,1,3556.14624,38.87281797,-105.063075,Present
Drymeia sp.,Diptera,217,Geum rossii var. turbinatum,1,3935.259521,38.86257101,-105.06987,Present
Drymeia sp.,Diptera,221,Senecio atratus,1,3111.892578,38.89515599,-105.062072,Present
Drymeia sp.,Diptera,223,Bistorta bistortoides,1,3923.478027,38.86195402,-105.069072,Present
Drymeia sp.,Diptera,223,Geum rossii var. turbinatum,1,3923.478027,38.86195402,-105.069072,Present
Drymeia sp.,Diptera,223,Bistorta bistortoides,1,3924.955322,38.86232601,-105.06871,Present
Aphididae spp.,Hemiptera,174,Rosa acicularis subsp. sayi,1,2629.397461,38.90162003,-104.992292,Present
Lispoides aequifrons,Diptera,193,Potentilla fruticosa,1,3605.793457,38.87699903,-105.065339,Present
Lispoides aequifrons,Diptera,193,Potentilla pulcherrima,1,3569.07959,38.87516004,-105.063753,Present
Lispoides aequifrons,Diptera,193,Potentilla fruticosa,1,3569.07959,38.87516004,-105.063753,Present
Lispoides aequifrons,Diptera,193,Geum rossii var. turbinatum,1,3593.99707,38.87619001,-105.064805,Present
Lispoides aequifrons,Diptera,193,Bistorta bistortoides,1,3525.021484,38.86888401,-105.05737,Present
Lispoides aequifrons,Diptera,193,Potentilla fruticosa,1,3571.055664,38.87532701,-105.063907,Present
Bombus appositus,Hymenoptera,209,Delphinium ramosum,1,2647.381104,38.90458798,-104.993334,Present
Bombus appositus,Hymenoptera,209,Aconitum columbianum,1,2647.54541,38.90270499,-104.992524,Present
Bombus appositus,Hymenoptera,209,Aconitum columbianum,1,2647.54541,38.90270499,-104.992524,Present
Bombus appositus,Hymenoptera,218,Delphinium ramosum,1,2625.28418,38.90237398,-104.992464,Present
Hylaeus verticalis,Hymenoptera,209,Hackelia floribunda,1,2633.277588,38.90402396,-104.992288,Present
Anaspis sp.,Coleoptera,205,Calochortus gunnisoni,1,2207.720215,38.863633,-104.939266,Present
Megachile spp.,Hymenoptera,209,Cirsium scariosum/scopulorum,1,2624.318604,38.90380503,-104.992284,Present
Gnophaela vermiculata,Lepidoptera,209,Cirsium scariosum/scopulorum,1,2624.318604,38.90380503,-104.992284,Present
Speyeria aphrodite,Lepidoptera,209,Cirsium scariosum/scopulorum,1,2624.318604,38.90380503,-104.992284,Present
Bombus appositus,Hymenoptera,223,Delphinium ramosum,1,2624.518799,38.90197702,-104.992462,Present
Selasphorus platycercus,Apodiformes,211,Aconitum columbianum,1,2662.755371,38.903024,-104.992281,Present
Anaspis sp.,Coleoptera,149,Rubus deliciosus,1,2217.312256,38.85502604,-104.939079,Present
Bombus appositus,Hymenoptera,209,Delphinium ramosum,1,2632.661377,38.90275603,-104.992457,Present
Bombus appositus,Hymenoptera,191,Delphinium ramosum,1,2623.64209,38.90278,-104.992421,Present
Bombus appositus,Hymenoptera,191,Delphinium ramosum,1,2623.64209,38.90278,-104.992421,Present
Muscidae spp.,Diptera,199,Heterotheca foliosa,1,2784.718018,38.92287998,-105.021466,Present
Muscidae spp.,Diptera,204,Chamaenerion angustifolium,1,2780.44214,38.922952,-105.02203,Present
Muscidae spp.,Diptera,193,Achillea millefolium,1,3553.849609,38.87171097,-105.062618,Present
Muscidae spp.,Diptera,193,Achillea millefolium,1,3553.849609,38.87171097,-105.062618,Present
Muscidae spp.,Diptera,193,Penstemon hallii,1,3525.021484,38.86888401,-105.05737,Present
Muscidae spp.,Diptera,193,Potentilla fruticosa,1,3566.980225,38.87553597,-105.064032,Present
Bombus appositus,Hymenoptera,203,Delphinium ramosum,1,2631.25122,38.90271,-104.99242,Present
Hemipenthes spp.,Diptera,188,Rosa acicularis subsp. sayi,1,2780.859131,38.92829896,-105.046711,Present
Bombus appositus,Hymenoptera,215,Delphinium ramosum,1,2628.287354,38.90269602,-104.992412,Present
Anaspis sp.,Coleoptera,149,Rubus deliciosus,1,2174.79297,38.854999,-104.93828,Present
Muscidae spp.,Diptera,196,Allium cernuum,1,2792.45166,38.92289104,-105.021437,Present
Muscidae spp.,Diptera,196,Erigeron speciosus,1,2780.931885,38.92412201,-105.021923,Present
Muscidae spp.,Diptera,196,Allium cernuum,1,2790.620361,38.92298299,-105.021466,Present
Megachile melanophaea,Hymenoptera,209,Campanula rotundifolia,1,2630.447998,38.90393604,-104.992274,Present
Bombus appositus,Hymenoptera,222,Delphinium ramosum,1,2634.472168,38.90274698,-104.992409,Present
Muscidae spp.,Diptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Muscidae spp.,Diptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Muscidae spp.,Diptera,197,Bistorta bistortoides,1,3528.52197,38.868877,-105.05738,Present
Anaspis sp.,Coleoptera,187,Holodiscus dumosus,1,2110.817139,38.85353004,-104.93736,Present
Muscidae spp.,Diptera,197,Hymenoxys grandiflora,1,3584.98218,38.876126,-105.06461,Present
Muscidae spp.,Diptera,197,Pedicularis groenlandica,1,3589.45264,38.876312,-105.06469,Present
Anaspis sp.,Coleoptera,167,Holodiscus dumosus,1,2096.412354,38.8542,-104.936229,Present
Muscidae spp.,Diptera,197,Zigadenus elegans,1,3585.890381,38.87603897,-105.064375,Present
Muscidae spp.,Diptera,199,Hymenoxys grandiflora,1,3583.49438,38.876295,-105.06462,Present
Muscidae spp.,Diptera,199,Saxifraga bronchialis subsp. austromontana,1,3545.95117,38.870921,-105.06182,Present
Empis spp.,Diptera,182,Geranium caespitosum,1,2930.051514,38.84854699,-104.992267,Present
Bombus appositus,Hymenoptera,222,Delphinium ramosum,1,2634.472168,38.90274698,-104.992409,Present
Osmia proxima,Hymenoptera,182,Penstemon virens,1,2930.051514,38.84854699,-104.992267,Present
Tachinidae spp.,Diptera,175,Anaphalis margaritacea,1,2623.999023,38.90143404,-104.992266,Present
Bombus appositus,Hymenoptera,222,Delphinium ramosum,1,2634.472168,38.90274698,-104.992409,Present
Anaspis sp.,Coleoptera,164,Rosa acicularis subsp. sayi,1,2113.816406,38.852302,-104.938055,Present
Anaspis sp.,Coleoptera,165,Jamesia americana,1,2377.023193,38.89361498,-104.97438,Present
Muscidae spp.,Diptera,199,Penstemon glaber,1,3580.70898,38.87569,-105.0641,Present
Muscidae spp.,Diptera,199,Potentilla hippiana,1,2790.354492,38.922957,-105.021468,Present
Muscidae spp.,Diptera,199,Chamaenerion angustifolium,1,2779.301758,38.92419803,-105.022257,Present
Muscidae spp.,Diptera,199,Chamaenerion angustifolium,1,2779.301758,38.92419803,-105.022257,Present
Muscidae spp.,Diptera,202,Rosa acicularis subsp. sayi,1,2790.65894,38.924087,-105.02187,Present
Bombus appositus,Hymenoptera,215,Linaria vulgaris,1,2619.614502,38.90141803,-104.992289,Present
Bombus appositus,Hymenoptera,211,Aconitum columbianum,1,2662.755371,38.903024,-104.992281,Present
Bombus appositus,Hymenoptera,211,Aconitum columbianum,1,2662.755371,38.903024,-104.992281,Present
Bombus appositus,Hymenoptera,204,Achillea millefolium,1,2645.794189,38.90414299,-104.992279,Present
Muscidae spp.,Diptera,202,Phacelia hasta/heterophylla,1,2786.46533,38.921799,-105.02234,Present
Hoplitis albifrons,Hymenoptera,197,Sedum lanceolatum,1,2628.969482,38.90136003,-104.992258,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,197,Potentilla pulcherrima,1,2624.018799,38.90143102,-104.992256,Present
Bombus appositus,Hymenoptera,209,Aconitum columbianum,1,2632.43042,38.90297899,-104.992154,Present
Bombus appositus,Hymenoptera,191,Aconitum columbianum,1,2636.293213,38.90304596,-104.992127,Present
Muscidae spp.,Diptera,202,Bistorta bistortoides,1,3569.213623,38.87523104,-105.063796,Present
Bombus appositus,Hymenoptera,215,Erigeron subtrinervis,1,2613.330566,38.901269,-104.991863,Present
Bombus appositus,Hymenoptera,206,Aconitum columbianum,1,2549.346436,38.90335802,-104.991746,Present
Bombus appositus,Hymenoptera,162,Pedicularis canadensis subsp. fluviatilis,1,2817.590088,38.88537398,-104.986715,Present
Podalonia spp.,Hymenoptera,209,Erigeron formosissimus,1,2627.64966,38.90357,-104.99225,Present
Muscidae spp.,Diptera,202,Bistorta bistortoides,1,3569.213623,38.87523104,-105.063796,Present
Euphydryas anica,Lepidoptera,203,Erigeron speciosus,1,2638.88403,38.903278,-104.99225,Present
Muscidae spp.,Diptera,202,Senecio bigelovii var. hallii,1,2784.421387,38.92204899,-105.022146,Present
Muscidae spp.,Diptera,202,Heterotheca villosa,1,2787.087891,38.92164901,-105.022377,Present
Muscidae spp.,Diptera,204,Chamaenerion angustifolium,1,2691.121582,38.92596904,-105.022175,Present
Muscidae spp.,Diptera,204,Veronica anagallis-aquatica,1,2791.894531,38.92739296,-105.047959,Present
Adejeania vexatrix,Diptera,203,Galium boreale,1,2652.71167,38.90206997,-104.992249,Present
Megachile inermis,Hymenoptera,182,Cirsium scariosum/scopulorum,1,2631.367188,38.90341602,-104.992248,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Muscidae spp.,Diptera,212,Potentilla fruticosa,1,3583.032715,38.87586102,-105.064212,Present
Muscidae spp.,Diptera,212,Mertensia ciliata,1,3369.503418,38.86501903,-105.052655,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Andrena milwaukeensis,Hymenoptera,161,Rubus deliciosus,1,2556.187744,38.89644002,-104.985256,Present
Muscidae spp.,Diptera,212,Potentilla fruticosa,1,3557.466797,38.87419604,-105.063311,Present
Muscidae spp.,Diptera,212,Sedum lanceolatum,1,3560.348633,38.87312198,-105.063158,Present
Bombus appositus,Hymenoptera,189,Penstemon glaber,1,2831.511719,38.88889999,-104.984217,Present
Bombus appositus,Hymenoptera,185,Penstemon glaber,1,2833.192871,38.88906101,-104.984134,Present
Muscidae spp.,Diptera,212,Geum rossii var. turbinatum,1,3544.10791,38.87072702,-105.061395,Present
Bombus appositus,Hymenoptera,185,Penstemon glaber,1,2835.673096,38.88906201,-104.984077,Present
Bombus appositus,Hymenoptera,189,Penstemon glaber,1,2824.979736,38.889016,-104.984047,Present
Bombus appositus,Hymenoptera,189,Penstemon glaber,1,2824.979736,38.889016,-104.984047,Present
Bombus appositus,Hymenoptera,195,Corydalis aurea subsp. aurea,1,2751.544922,38.88842599,-104.979754,Present
Bombus appositus,Hymenoptera,199,Cirsium scariosum/scopulorum,1,2782.641357,38.92407197,-105.022401,Present
